order_id,order_date,customer_id,product_category,region,sales_amount,discount,profit,payment_method
122,2023-10-12,4775,Clothing,East,4705.67,2.46,2131.68,Credit Card
123,2023-07-19,1238,Furniture,North,3754.25,4.02,1688.61,UPI
124,2023-06-06,4331,Clothing,South,823.01,23.36,372.73,Credit Card
125,2023-12-06,2388,Electronics,South,2155.84,5.83,393.75,Cash
126,2023-06-06,1214,Furniture,South,3689.71,28.17,1730.77,Credit Card
127,2023-11-18,3366,Electronics,South,4975.45,12.54,1906.76,Credit Card
128,2023-11-06,4558,Clothing,West,1464.14,21.79,227.72,UPI
129,2023-06-19,4383,Grocery,West,1361.43,20.5,138.94,UPI
130,2023-08-07,3748,Grocery,South,3387.56,7.77,1293.42,UPI
131,2023-06-19,3027,Clothing,West,2156.59,8.45,885.91,Cash
132,2023-03-16,4463,Furniture,East,3514.84,14.86,1461.69,Debit Card
133,2023-09-17,1951,Electronics,West,657.46,24.22,180.55,Debit Card
134,2023-02-17,1957,Electronics,North,403.31,17.44,116.84,Debit Card
135,2023-04-26,2134,Furniture,East,1486.55,11.26,691.61,UPI
136,2023-07-07,2346,Grocery,South,922.49,22.41,94.2,UPI
137,2023-02-14,1355,Furniture,West,122.16,4.53,21.72,UPI
138,2023-02-14,4991,Clothing,North,763.8,25.86,134.12,UPI
139,2023-03-08,3433,Clothing,South,2492.88,22.8,1095.68,Debit Card
140,2023-04-19,3570,Grocery,West,3074.88,24.51,1035.89,Credit Card
141,2023-08-17,1830,Grocery,North,2771.68,2.54,1305.49,UPI
142,2023-05-18,1057,Furniture,East,376.35,1.38,147.24,Credit Card
143,2023-10-21,2578,Clothing,East,3313.99,9.08,1017.54,Cash
144,2023-09-20,3174,Furniture,East,2468.22,2.53,545.17,UPI
145,2023-06-26,1701,Electronics,West,3460.87,3.86,1073.47,Cash
146,2023-09-24,1526,Grocery,East,1562.71,7.81,446.12,Credit Card
147,2023-01-09,2245,Electronics,West,3657.95,29.39,909.5,Debit Card
148,2023-05-06,3374,Electronics,East,3048.88,27.63,605.28,Cash
149,2023-05-20,2043,Electronics,East,790.81,23.02,132.84,UPI
150,2023-01-11,2484,Electronics,East,4452.42,21.57,766.25,Debit Card
151,2023-03-22,3085,Electronics,North,4204.69,19.0,562.38,UPI
152,2023-06-27,2933,Grocery,East,2834.51,2.53,530.55,UPI
153,2023-10-29,1561,Grocery,East,182.39,13.64,33.96,UPI
154,2023-07-29,1702,Furniture,North,2715.1,19.6,279.9,Debit Card
155,2023-03-04,4351,Electronics,South,2033.93,10.63,862.71,Debit Card
156,2023-03-16,2347,Grocery,North,4133.35,6.2,2049.56,Credit Card
157,2023-12-31,3030,Clothing,East,4300.32,15.19,2003.58,Credit Card
158,2023-06-30,2452,Electronics,South,1171.65,11.86,473.78,Credit Card
159,2023-10-05,2748,Furniture,South,2102.4,28.68,507.8,Cash
160,2023-08-10,1999,Grocery,South,2421.48,11.41,292.74,Credit Card
161,2023-09-22,2492,Electronics,West,4118.42,20.76,1262.46,Debit Card
162,2023-09-10,1050,Grocery,West,291.33,14.2,53.33,Credit Card
163,2023-12-11,3056,Electronics,West,3677.29,6.32,1790.38,UPI
164,2023-10-05,2810,Electronics,West,2775.23,4.67,697.5,Cash
165,2023-08-17,4925,Furniture,North,2187.0,17.14,533.15,UPI
166,2023-06-05,2939,Furniture,North,3352.02,6.64,671.79,Credit Card
167,2023-10-23,1776,Grocery,East,1647.25,7.39,679.04,UPI
168,2023-11-04,2217,Clothing,West,3218.61,19.17,320.83,Cash
169,2023-12-08,4476,Electronics,South,1610.55,2.67,750.0,Credit Card
170,2023-04-02,4398,Clothing,North,402.3,26.75,82.83,Cash
171,2023-01-18,2635,Furniture,West,1065.65,23.78,467.71,UPI
172,2023-10-03,2571,Clothing,East,3897.61,18.65,1761.45,UPI
173,2023-01-03,1977,Furniture,West,4805.66,6.14,1001.84,UPI
174,2023-06-15,1486,Grocery,East,3520.16,22.96,1047.2,Credit Card
175,2023-07-20,3978,Clothing,South,3653.48,2.01,993.76,UPI
176,2023-05-09,4815,Clothing,East,4398.69,3.38,729.8,Debit Card
177,2023-05-21,2268,Furniture,West,2442.2,13.8,1101.44,Cash
178,2023-03-09,2457,Electronics,East,1067.96,17.53,481.28,Credit Card
179,2023-06-23,3368,Electronics,North,2160.59,4.66,896.69,UPI
180,2023-11-04,2067,Grocery,East,2912.78,29.96,1103.83,Cash
181,2023-03-15,4767,Electronics,East,3379.97,5.28,1503.27,UPI
182,2023-11-30,4473,Furniture,East,1024.29,15.65,296.51,Debit Card
183,2023-03-10,3376,Electronics,West,1315.2,18.15,467.26,UPI
184,2023-10-24,1573,Clothing,South,4637.16,19.3,1873.92,Cash
185,2023-04-18,1342,Electronics,East,1427.27,24.8,382.82,Debit Card
186,2023-03-17,1645,Clothing,East,4011.18,18.69,487.82,Credit Card
187,2023-03-15,2864,Grocery,South,4042.44,16.14,1953.6,Debit Card
188,2023-03-03,2930,Grocery,East,1302.07,18.36,415.48,Debit Card
189,2023-03-31,4135,Clothing,South,2967.66,11.59,371.1,Credit Card
190,2023-03-29,4465,Furniture,East,171.99,28.12,8.02,Cash
191,2023-05-13,2081,Furniture,North,3092.66,14.15,320.24,Credit Card
192,2023-12-17,4001,Grocery,North,1791.01,15.54,225.8,Credit Card
193,2023-04-20,3714,Electronics,West,3693.91,8.05,612.01,UPI
194,2023-06-30,2993,Furniture,South,2367.84,16.68,320.54,Cash
195,2023-12-18,4211,Furniture,North,1479.27,12.33,219.58,Credit Card
196,2023-01-14,3512,Electronics,West,2866.03,16.61,899.46,Credit Card
197,2023-07-19,1014,Grocery,East,549.88,25.38,35.67,Cash
198,2023-02-08,4366,Furniture,North,817.57,28.73,327.1,UPI
199,2023-03-28,3106,Furniture,East,2079.12,10.42,474.66,Cash
200,2023-04-10,1768,Grocery,West,4287.21,8.51,870.68,Debit Card
201,2023-01-24,2494,Clothing,East,4510.95,3.7,759.38,UPI
202,2023-04-20,3957,Clothing,North,3863.56,28.83,1081.69,Credit Card
203,2023-02-07,2762,Grocery,West,2456.8,13.94,1064.86,Cash
204,2023-11-11,2234,Electronics,West,4719.93,9.98,1185.3,UPI
205,2023-07-26,3743,Furniture,West,1041.74,14.89,355.86,Debit Card
206,2023-01-10,2871,Grocery,West,4177.65,2.37,438.0,UPI
207,2023-12-17,3243,Furniture,South,1230.9,16.29,181.39,Credit Card
208,2023-01-30,2752,Furniture,North,1857.51,9.0,287.17,UPI
209,2023-04-09,2160,Electronics,South,2052.62,19.2,993.84,Debit Card
210,2023-07-28,4510,Electronics,North,4995.19,27.37,2078.25,Debit Card
211,2023-09-22,4108,Electronics,North,1570.83,16.73,606.07,Cash
212,2023-03-04,3300,Grocery,South,4549.14,16.03,2029.57,Debit Card
213,2023-03-13,3007,Grocery,North,3454.66,6.91,1139.04,UPI
214,2023-12-09,3761,Grocery,East,4522.31,0.33,937.51,Debit Card
215,2023-04-07,2837,Electronics,North,409.55,10.84,166.67,Cash
216,2023-03-10,1351,Clothing,West,2069.98,10.34,411.92,UPI
217,2023-08-13,4018,Electronics,South,1893.84,10.83,903.99,UPI
218,2023-07-14,1917,Clothing,South,4377.71,18.61,791.37,Debit Card
219,2023-05-02,2243,Furniture,East,4935.58,1.46,2344.09,Debit Card
220,2023-07-20,1600,Grocery,South,3215.27,12.69,370.03,Debit Card
221,2023-08-01,4317,Furniture,North,3304.23,1.96,904.57,UPI
222,2023-09-04,4134,Grocery,North,4987.18,19.08,1573.82,Cash
223,2023-07-29,3561,Furniture,West,1109.56,17.96,367.83,Cash
224,2023-08-13,4857,Grocery,South,1760.24,7.28,681.93,Debit Card
225,2023-07-29,4305,Furniture,South,1535.05,0.4,295.1,Cash
226,2023-11-07,1877,Furniture,South,4779.26,27.27,1991.28,Credit Card
227,2023-10-04,4602,Electronics,South,2013.4,16.16,783.99,Cash
228,2023-01-26,4186,Grocery,East,1830.72,18.89,776.69,Credit Card
229,2023-03-20,4101,Grocery,West,3803.37,3.09,1640.26,Cash
230,2023-05-06,1749,Electronics,East,3471.26,25.36,1165.99,Credit Card
231,2023-10-06,2497,Clothing,South,845.33,8.29,349.25,UPI
232,2023-08-13,1832,Clothing,West,2778.62,11.48,1131.06,UPI
233,2023-04-07,2864,Electronics,East,2157.02,7.3,776.94,Credit Card
234,2023-03-16,1891,Electronics,East,1276.85,18.62,324.76,Credit Card
235,2023-01-19,1462,Clothing,South,3745.02,3.94,1693.63,Debit Card
236,2023-04-24,2223,Furniture,West,3765.56,26.04,1352.12,Debit Card
237,2023-11-24,2530,Clothing,West,610.32,1.69,201.66,UPI
238,2023-01-14,3494,Clothing,North,4387.7,2.96,2072.94,Credit Card
239,2023-02-28,3717,Grocery,North,4153.01,4.94,1901.82,Cash
240,2023-06-30,4995,Electronics,East,636.08,11.24,182.83,Credit Card
241,2023-01-25,2923,Grocery,East,4816.24,15.37,1004.69,UPI
242,2023-04-21,2371,Furniture,East,3004.61,26.95,939.38,Credit Card
243,2023-02-20,1186,Grocery,South,3777.68,2.39,788.41,Cash
244,2023-05-16,2507,Furniture,East,1466.68,20.11,513.18,Credit Card
245,2023-07-08,2775,Clothing,East,2420.38,3.48,633.85,Debit Card
246,2023-10-29,2810,Furniture,North,4127.94,29.53,1094.75,Debit Card
247,2023-05-26,3359,Furniture,North,3508.47,26.1,1205.27,Credit Card
248,2023-12-14,2927,Grocery,East,3599.64,9.66,1699.22,Credit Card
249,2023-09-13,2094,Clothing,East,4259.87,12.05,1929.82,UPI
250,2023-08-13,1317,Grocery,North,3698.33,6.86,696.55,UPI
251,2023-02-09,3420,Furniture,North,3645.43,20.29,773.96,Debit Card
252,2023-07-13,3728,Clothing,South,1307.0,6.35,456.0,Debit Card
253,2023-03-31,4840,Electronics,East,1790.92,8.35,208.11,UPI
254,2023-12-09,4560,Grocery,North,2281.59,18.33,858.85,Debit Card
255,2023-07-28,2176,Grocery,North,1171.08,7.78,495.31,Debit Card
256,2023-01-14,1940,Electronics,East,2010.54,11.73,915.62,Cash
257,2023-10-01,3222,Furniture,West,552.24,15.37,169.66,Cash
258,2023-06-18,4341,Electronics,North,149.86,7.18,50.75,Cash
259,2023-12-13,2718,Furniture,South,2693.18,1.52,1068.3,UPI
260,2023-09-14,2394,Grocery,South,144.79,24.63,38.87,Credit Card
261,2023-04-07,3184,Electronics,East,3182.31,28.99,697.93,UPI
262,2023-07-06,4215,Grocery,North,1720.59,27.38,145.66,Debit Card
263,2023-03-25,3690,Electronics,East,2768.44,12.29,554.89,Debit Card
264,2023-09-10,2676,Clothing,West,4241.7,3.24,1185.63,Credit Card
265,2023-03-10,2597,Grocery,South,4154.08,27.05,533.08,UPI
266,2023-02-23,2612,Furniture,North,3532.5,29.19,1098.18,UPI
267,2023-06-28,3472,Grocery,West,4746.06,25.79,1229.48,UPI
268,2023-11-06,3775,Electronics,East,3689.64,12.56,1335.61,Debit Card
269,2023-08-23,4188,Furniture,West,2889.31,9.38,379.1,Credit Card
270,2023-08-18,2442,Grocery,West,4010.53,1.06,909.18,Credit Card
271,2023-01-23,2631,Grocery,East,2071.25,13.47,792.68,Debit Card
272,2023-04-01,3916,Electronics,South,1515.32,9.72,546.57,Cash
273,2023-11-25,4995,Clothing,West,4900.17,17.88,1274.87,Debit Card
274,2023-12-18,3037,Furniture,North,2066.71,22.98,410.09,Credit Card
275,2023-08-04,3403,Furniture,East,3874.01,9.27,772.44,Credit Card
276,2023-05-12,2900,Clothing,South,4595.51,16.9,467.91,Debit Card
277,2023-04-03,4006,Furniture,South,878.04,19.23,263.6,Credit Card
278,2023-04-20,3445,Clothing,South,3678.97,27.64,1021.08,Credit Card
279,2023-09-16,1100,Electronics,North,1126.73,21.22,383.77,Credit Card
280,2023-09-21,2332,Grocery,North,1425.09,5.98,248.66,Cash
281,2023-12-29,4159,Furniture,East,956.3,0.88,166.79,UPI
282,2023-01-14,1009,Furniture,West,4223.12,14.95,1214.16,UPI
283,2023-12-29,3600,Clothing,West,771.51,4.16,95.76,Cash
284,2023-02-09,4006,Furniture,North,1562.74,5.86,716.92,Debit Card
285,2023-02-23,3878,Furniture,East,2264.28,23.23,234.35,Cash
286,2023-05-29,4675,Grocery,West,115.26,15.56,17.09,Debit Card
287,2023-04-05,4445,Electronics,West,458.39,18.61,68.46,UPI
288,2023-02-01,2080,Clothing,East,2896.74,11.49,288.7,Cash
289,2023-12-09,2038,Clothing,South,4557.59,26.23,467.03,Cash
290,2023-07-05,2033,Clothing,South,4821.71,0.43,2220.44,Cash
291,2023-08-29,3246,Grocery,West,2212.92,28.11,949.95,UPI
292,2023-09-04,4786,Clothing,West,1384.72,5.5,233.42,Credit Card
293,2023-08-17,3713,Grocery,West,3145.35,25.66,589.22,UPI
294,2023-11-24,3919,Grocery,West,2330.5,3.3,462.0,Credit Card
295,2023-02-21,3982,Clothing,East,170.68,17.0,32.38,Debit Card
296,2023-11-12,4427,Electronics,West,2170.17,27.12,319.51,Credit Card
297,2023-07-25,3312,Clothing,West,2027.94,19.88,543.7,Debit Card
298,2023-03-29,1645,Furniture,West,3705.52,14.26,784.75,Debit Card
299,2023-11-18,4063,Electronics,South,211.0,26.09,18.38,Debit Card
300,2023-06-02,2752,Furniture,North,683.02,7.65,129.44,Debit Card
301,2023-07-01,1374,Clothing,South,3789.69,7.95,1167.71,Debit Card
302,2023-03-13,1458,Furniture,West,3885.08,26.43,1118.92,UPI
303,2023-05-15,3722,Electronics,West,1106.51,24.64,90.83,Cash
304,2023-11-01,2213,Electronics,West,4749.44,15.75,2320.84,Cash
305,2023-06-25,1839,Clothing,North,4903.63,3.99,1448.41,Debit Card
306,2023-05-31,2669,Grocery,East,4002.28,7.92,1752.8,Debit Card
307,2023-12-07,2422,Grocery,East,2002.02,2.97,693.54,Credit Card
308,2023-04-09,1193,Furniture,East,944.63,8.93,155.56,Credit Card
309,2023-10-11,3708,Electronics,East,4898.31,12.8,1907.9,Credit Card
310,2023-06-25,4392,Electronics,South,304.14,14.84,91.8,Credit Card
311,2023-12-17,2271,Grocery,East,3487.9,23.12,730.99,Cash
312,2023-09-06,4059,Electronics,East,3586.03,2.66,1706.63,UPI
313,2023-06-30,2127,Electronics,North,2701.07,8.63,805.59,UPI
314,2023-04-02,4142,Clothing,East,2399.63,9.54,571.4,Cash
315,2023-07-20,3657,Electronics,South,2167.52,16.52,578.43,Debit Card
316,2023-05-05,4164,Furniture,South,1445.15,4.34,254.46,UPI
317,2023-11-10,3903,Clothing,West,1009.98,1.07,254.66,Debit Card
318,2023-09-18,2219,Clothing,South,2767.09,23.45,1116.75,Cash
319,2023-06-25,1001,Clothing,East,641.48,20.68,66.99,Cash
320,2023-05-03,3851,Grocery,North,2734.47,26.47,350.77,Debit Card
321,2023-07-07,4137,Electronics,North,4312.82,13.48,1648.73,Credit Card
322,2023-08-25,3307,Electronics,South,4018.35,26.49,1660.1,UPI
323,2023-02-28,4361,Grocery,East,2675.93,29.7,287.01,Debit Card
324,2023-02-15,1501,Grocery,East,2749.56,12.21,1143.62,Cash
325,2023-07-17,1236,Clothing,East,1875.68,2.68,869.53,Credit Card
326,2023-11-18,1752,Furniture,South,1323.0,22.33,420.29,Credit Card
327,2023-03-01,4840,Furniture,West,3540.34,20.39,1178.82,UPI
328,2023-03-23,4488,Clothing,East,2318.09,1.55,364.35,Credit Card
329,2023-04-25,4135,Furniture,West,4515.43,10.79,456.36,Cash
330,2023-10-31,4144,Clothing,West,3174.77,0.0,1142.8,UPI
331,2023-04-02,4991,Furniture,West,816.52,11.02,317.78,Credit Card
332,2023-06-15,1639,Electronics,West,3834.09,20.05,752.7,UPI
333,2023-11-01,1464,Grocery,North,1972.16,21.86,341.24,Debit Card
334,2023-12-11,1005,Furniture,West,1042.3,14.96,282.87,Debit Card
335,2023-12-31,4987,Grocery,North,2500.76,27.25,1184.94,Cash
336,2023-11-03,2765,Furniture,West,3381.35,4.33,1435.92,Cash
337,2023-09-16,4001,Clothing,South,973.16,3.53,142.89,Cash
338,2023-09-26,3370,Electronics,North,3986.87,0.88,1795.87,Debit Card
339,2023-03-25,3548,Furniture,North,1997.31,6.38,348.44,Cash
340,2023-11-26,1564,Grocery,East,3249.93,11.57,1380.72,UPI
341,2023-06-12,4808,Electronics,North,2040.27,26.14,528.68,UPI
342,2023-03-03,2900,Electronics,South,2781.73,1.48,1083.3,UPI
343,2023-01-26,2484,Electronics,East,4979.04,7.6,782.61,Cash
344,2023-12-25,2620,Furniture,East,3865.08,5.28,636.28,Debit Card
345,2023-10-28,1144,Furniture,North,1386.71,10.39,332.76,Debit Card
346,2023-09-19,2326,Furniture,West,1020.23,16.68,156.79,Cash
347,2023-06-05,1346,Clothing,North,1277.92,10.73,243.24,Cash
348,2023-11-19,3413,Grocery,East,4875.29,1.23,870.67,Debit Card
349,2023-04-17,2533,Electronics,West,2806.18,25.55,336.42,Credit Card
350,2023-01-20,1142,Grocery,East,192.58,27.9,9.35,Debit Card
351,2023-01-17,1547,Electronics,West,681.37,2.25,156.84,Debit Card
352,2023-08-04,2564,Grocery,North,1153.77,3.41,170.92,UPI
353,2023-06-24,4081,Electronics,North,1994.39,21.67,914.61,Cash
354,2023-01-11,4905,Clothing,South,780.34,21.18,264.63,Debit Card
355,2023-05-01,2807,Clothing,East,267.89,15.58,112.59,UPI
356,2023-12-06,2817,Clothing,North,1155.42,28.7,208.55,Debit Card
357,2023-06-06,2280,Grocery,North,194.44,8.0,41.88,Credit Card
358,2023-12-15,1939,Grocery,South,389.98,10.37,42.6,Credit Card
359,2023-08-15,1251,Clothing,North,2827.24,4.89,1000.75,Credit Card
360,2023-03-16,2388,Furniture,South,1041.21,20.67,431.1,UPI
361,2023-05-27,1009,Electronics,North,493.18,1.69,76.82,Credit Card
362,2023-04-09,1831,Electronics,South,751.95,4.37,169.0,UPI
363,2023-10-05,4011,Clothing,East,1118.41,1.03,301.03,Debit Card
364,2023-05-30,3664,Electronics,East,695.13,6.24,73.38,Cash
365,2023-05-17,3551,Clothing,West,1157.06,14.67,341.24,Debit Card
366,2023-05-20,2983,Clothing,West,4943.0,19.03,2054.62,Cash
367,2023-12-23,3630,Furniture,East,4988.64,29.84,853.1,Cash
368,2023-07-11,3437,Electronics,West,4399.81,20.85,759.81,Cash
369,2023-05-20,4700,Electronics,East,1020.53,21.68,379.22,Credit Card
370,2023-08-07,2747,Clothing,West,3864.44,13.66,675.46,Credit Card
371,2023-01-10,1792,Furniture,North,2803.66,2.9,877.06,Credit Card
372,2023-10-21,2848,Furniture,North,1829.05,4.47,247.81,UPI
373,2023-03-07,4206,Clothing,North,1564.64,2.6,313.16,Cash
374,2023-06-13,2344,Furniture,North,4160.82,26.05,711.66,Cash
375,2023-03-30,1829,Electronics,North,4071.5,8.5,1471.26,Cash
